Recipe,Chicken,Cheese,Eggs,Cauliflower,Cabbage,Brocolli,Walnut,Almond,Butter,Paneer,Cream,Mushrooms,Tomatoes,Cherry Tomatoes,Chocolate
Cream Chicken,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0
Nut Chocolate,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
Stir Fried veggies,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0
Cheese Omlet,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
Paneer Masala,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
